Name,Phone,Address,Website,Ratings
Raipur Merchants Academy Primary School,01730-944170,"2QP8+7R3, Bus Stand, Raipur",N/A,
Principal Kazi Faruky School and College,,,N/A,
Raipur LM Pilot Model High School,N/A,,N/A,
Raipur Ideal School & College,,,N/A,
South Raipur Abdur Rahman Adarsha High School,,,N/A,
Station Model Government Primary School,N/A,,N/A,
Raipur Girls Government Primary School,N/A,,N/A,
South Raipur BN Government Primary School,,,N/A,
Standard english medium school and college,N/A,,N/A,
Upazila Administration Art School,N/A,,N/A,
Purvalach Government Primary School,N/A,,N/A,
Luduya mm school,N/A,,N/A,
HRC Smart School,,,N/A,
Raipur Adarsha Shishu Nikatan,N/A,,N/A,
A T M Mostafa School & College,N/A,,N/A,
North Raipur Government Primary School,N/A,,N/A,
Charpata Government Primary School,N/A,,N/A,
Keroa Sirazia Government Primary School,N/A,,N/A,
Golakpur Government Primary School,N/A,,N/A,
Shayesta nagar Government Primary School,N/A,,N/A,
North East Charpata Government Primary School,,,N/A,
হাজী হাজেরা আমিন ইসলামী একাডেমী,N/A,Raipur - Haiderganj - Hajimara Rd,N/A,
HRC Smart School,01736-179054,"2QP6+532, Raipur - Haiderganj - Hajimara Rd, Raipur",N/A,
Khair hats Primary School,N/A,"2Q3R+HCX, Sardarbari-Khayerhat-Mollaherhat-Raipur Rd",N/A,
Marium High School,N/A,"3R29+RH4, Raipur-Panpara Rd, Keroa",N/A,
Kanchanpur Government Primary School,N/A,"2QH9+84W, Raipur Rd",N/A,
৯৮ নং লড়াইরচর সরকারি প্রাথমিক বিদ্যালয়,N/A,"3P88+7HX, Birampur - Raipur Rd, Birampur",N/A,
Upazila Administration Art School,N/A,"2QP9+762, Raipur",N/A,
West Sagardi Government Primary School,N/A,"2QGX+5PM, Sardarbari-Khayerhat-Mollaherhat-Raipur Rd",N/A,
Panpara High School & College,N/A,"3R2M+W6C, রায়পুর - হায়দারগঞ্জ - হাজিমারা রোড",N/A,
Raipur Adarsha Shishu Nikatan,N/A,"2QP6+J22, Raipur",N/A,
Keroa Sirazia Government Primary School,N/A,"2QXH+27G, Raipur-Panpara Rd",N/A,
Madrasa-e Tamirul Millat Raipur,01705-470380,"Siddar Rasta Bus Stop, R 140",N/A,
A T M Mostafa School & College,N/A,Raipur,N/A,
কাজির দিঘীর পাড় সমাজ কল্যান উচ্চ বিদ্যালয়,N/A,"2R85+2VF, Kazir Dighir Par - Kazi Bari - Hekim School Rd, Hamsadi 3701",N/A,
Hazi Mohammad Selim High School,N/A,"3P38+Q6P, তপদার বাড়ী রোড়, Birampur",N/A,
মাহবুবা স্কুল এন্ড কলেজ,01804-432500,"3Q45+525, North Chorpata",N/A,
Madhya Raipur Government Primary School,N/A,2P8V+9VG,N/A,
Luduya mm school,N/A,"2QP6+JJX, Raipur",N/A,
Charbongshi Joynalia High School,N/A,"Charbongshi,Raipur,Luxmipur, Raipur Iterpool - Hajimara - Haiderganj - Raipur Rd, 3713",N/A,
